pacSelector,kind,owner,principalId,lastChange,category,displayName,id
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:15.5546006Z,,Enforce recommended guardrails for Customer Managed Keys,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-Encrypt-CMK0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.9483658Z,,Enforce recommended guardrails for API Management,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-APIM0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:15.3880018Z,,Enforce recommended guardrails for App Services,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-AppServices0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.9977976Z,,Enforce recommended guardrails for Automation Accounts,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Automation0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:17.9127313Z,,Enforce recommended guardrails for Bot Service,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-BotService0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.1065355Z,,Enforce recommended guardrails for Cognitive Services,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-CogServ0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.3049958Z,,Enforce recommended guardrails for Compute,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-Compute0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:14.0382714Z,,Enforce recommended guardrails for Container Apps,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ContApps0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:11.8834378Z,,Enforce recommended guardrails for Container Instance,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ContInst0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:12.1877205Z,,Enforce recommended guardrails for Container Registry,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-ContReg0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:13.551933Z,,Enforce recommended guardrails for Cosmos DB,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-CosmosDb0
quick-start,Assignment(PolicySet-Custom),unknown,f9aeddfb-e77c-4817-b2c4-8acc638f2971,2026-03-20T13:29:12.5007094Z,,Enforce recommended guardrails for Data Explorer,/providers/Microsoft.Management/managementGroups/mgmt-platform/providers/Microsoft.Authorization/policyAssignments/Enforce-GR-DataExpl0
